Date,Open,High,Low,Close,Adj Close,Volume
17/12/2012,72.70,74.285713,71.604286,74.118568,53.423187,189401800
18/12/2012,75.00,76.414284,74.321426,76.271431,54.974922,156421300
19/12/2012,75.92,76.242859,75.071426,75.187141,54.19339,112342300
20/12/2012,75.71,75.742859,74.125717,74.53286,53.721798,120422400
21/12/2012,73.21,74.238571,72.891426,74.190002,53.474663,149067100
24/12/2012,74.34,74.89286,74.101425,74.309998,53.561169,43938300
26/12/2012,74.14,74.208572,73.017143,73.285713,52.822868,75609100
27/12/2012,73.36,73.75,72.094284,73.580002,53.034992,113780100
28/12/2012,72.90,73.497147,72.58857,72.798569,52.471752,88569600
31/12/2012,72.93,76.485718,72.714287,76.024284,54.796783,164873100
02/01/2013,79.12,79.285713,77.375717,78.432854,56.532833,140129500
03/01/2013,78.27,78.524284,77.285713,77.442856,55.819256,88241300
04/01/2013,76.71,76.947144,75.118568,75.285713,54.264439,148583400
07/01/2013,74.57,75.614288,73.599998,74.842857,53.94524,121039100
08/01/2013,75.60,75.984283,74.464287,75.044289,54.090424,114676800
09/01/2013,74.64,75.001427,73.71286,73.871429,53.245052,101901100
10/01/2013,75.51,75.531425,73.645714,74.78714,53.905075,150286500
11/01/2013,74.43,75.045715,74.145714,74.328575,53.574554,87626700
14/01/2013,71.81,72.5,71.215714,71.678574,51.664474,183551900
15/01/2013,71.19,71.284286,69.054283,69.417145,50.034496,219193100
16/01/2013,70.66,72.777145,70.35714,72.298569,52.11137,172701200
17/01/2013,72.90,72.964287,71.718575,71.811432,51.760242,113419600
18/01/2013,71.22,71.745712,70.914284,71.428574,51.484287,118230700
22/01/2013,72.08,72.554283,70.947144,72.110001,51.975445,115386600
23/01/2013,72.69,73.57,72.110001,73.43,52.926884,215377400
24/01/2013,65.71,66.53286,64.321426,64.35714,46.387341,365213100
25/01/2013,64.53,65.175713,62.142857,62.84,45.293816,302006600
28/01/2013,62.55,64.744286,62.265713,64.261429,46.318348,196379400
29/01/2013,65.50,65.742859,64.58857,65.46714,47.187405,142789500
30/01/2013,65.29,66.085716,64.928574,65.261429,47.039143,104288800
31/01/2013,65.28,65.611427,64.997147,65.07,46.901154,79833600
01/02/2013,65.59,65.639999,64.050003,64.802856,46.708603,134871100
04/02/2013,64.84,65.134285,63.142857,63.188572,45.545055,119279300
05/02/2013,63.44,65.677139,63.174286,65.405716,47.143135,143336900
06/02/2013,65.21,66.64286,64.654289,65.335716,47.092674,148426600
07/02/2013,66.18,67.14286,64.874283,66.888573,50.250072,176145200
08/02/2013,67.71,68.401428,66.89286,67.854286,50.975567,158289600
11/02/2013,68.07,69.277145,67.60714,68.561432,51.506813,129372600
12/02/2013,68.50,68.91143,66.82,66.842857,50.215736,152263300
13/02/2013,66.74,67.662857,66.174286,66.715714,50.120209,118801900
14/02/2013,66.36,67.377144,66.288574,66.655716,50.075142,88818800
15/02/2013,66.98,67.165718,65.702858,65.737144,49.385067,97936300
19/02/2013,65.87,66.104286,64.835716,65.71286,49.366829,108945900
20/02/2013,65.38,65.384285,64.114288,64.121429,48.171265,119075600
21/02/2013,63.71,64.167145,63.259998,63.722858,47.871834,111795600
22/02/2013,64.18,64.514282,63.799999,64.401428,48.381615,82663700
25/02/2013,64.84,65.017143,63.224285,63.257141,47.521954,93144800
26/02/2013,63.40,64.505714,62.522858,64.138573,48.184139,125374900
27/02/2013,64.06,64.634285,62.950001,63.509998,47.711926,146837600
28/02/2013,63.44,63.98143,63.057144,63.057144,47.371716,80628800
01/03/2013,62.57,62.597141,61.425713,61.495716,46.198692,138112100
04/03/2013,61.11,61.171429,59.857143,60.007141,45.080402,145688900
05/03/2013,60.21,62.169998,60.107143,61.591427,46.270596,159608400
06/03/2013,62.07,62.17857,60.632858,60.808571,45.682476,115062500
07/03/2013,60.64,61.715714,60.151428,61.511429,46.210495,117118400
08/03/2013,61.40,62.204285,61.23,61.674286,46.332844,97870500
11/03/2013,61.39,62.715714,60.734287,62.552856,46.992863,118559000
